gene	log2_TE
YDL177C	-0.3141
YDL178W	0.2663
YDL179W	-0.1972
YDL180W	-0.6142
YDL181W	1.1641
YDL182W	0.6948
YDL183C	0.1374
YDL185W	1.1176
YDL188C	-0.0991
YDL189W	-0.3819
YDL190C	-0.1822
YDL192W	0.8812
YDL193W	0.2999
YDL194W	-0.4801
YDL195W	0.2062
YDL197C	-1.3451
YDL198C	0.4874
YDL199C	-0.1937
YDL200C	-0.1318
YDL201W	0.6075
YDL202W	0.3707
YDL203C	-0.6320
YDL204W	-1.0066
YDL205C	-0.0062
YDL206W	-1.0611
YDL207W	-0.3579
YDL208W	1.4131
YDL209C	-0.1494
YDL211C	-0.4441
YDL212W	0.5656
YDL213C	1.0784
YDL215C	-0.3318
YDL216C	-0.4348
YDL217C	0.4935
YDL219W	0.7490
YDL220C	-0.6451
YDL223C	-0.8824
YDL224C	-0.2138
YDL225W	0.5918
YDL226C	0.7020
YDL227C	0.2252
YDL229W	2.9353
YDL230W	-0.1199
YDL232W	1.0556
YDL233W	-0.1180
YDL234C	-0.3197
YDL235C	0.4078
YDL236W	0.8474
YDL237W	-0.2931
YDL238C	-1.0253
YDL240W	-0.9198
YDL241W	0.4424
YDL248W	-0.6359
YDR001C	-0.0626
YDR002W	1.7524
YDR003W	0.0488
YDR004W	-0.8536
YDR005C	-0.1897
YDR006C	-0.5653
YDR007W	0.5752
YDR009W	0.1604
YDR011W	-0.5572
YDR013W	-0.1762
YDR014W	-0.5259
YDR016C	0.2629
YDR017C	-0.7310
YDR019C	0.3686
YDR020C	-0.0727
YDR021W	-0.0588
YDR022C	-0.4362
YDR023W	1.3036
YDR025W	1.6948
YDR026C	-1.1965
YDR027C	-0.6772
YDR028C	-0.5695
YDR030C	-0.1974
YDR031W	0.7174
YDR032C	1.7019
YDR033W	1.3100
YDR034C	-0.8200
YDR034W-B	0.3493
YDR035W	0.8059
YDR036C	-0.0715
YDR037W	1.2283
YDR038C	-0.6310
YDR040C	-1.5852
YDR041W	0.3506
YDR042C	-0.1366
YDR043C	0.0379
YDR044W	0.6746
YDR045C	1.0144
YDR046C	-0.1960
YDR047W	0.0387
YDR049W	0.2208
YDR050C	2.1983
YDR051C	0.3784
YDR052C	0.0820
YDR054C	0.5443
YDR055W	1.0587
YDR056C	0.6906
YDR057W	0.0798
YDR058C	-0.2940
YDR059C	0.3210
YDR060W	-0.0861
YDR061W	-0.5823
YDR062W	-0.2642
YDR063W	0.7919
YDR064W	2.0820
YDR065W	-0.8580
YDR066C	-0.5997
YDR067C	-0.6932
YDR068W	0.3259
YDR069C	-0.6258
YDR070C	-0.0134
YDR071C	1.2663
YDR072C	-0.5303
YDR073W	-1.0057
YDR074W	0.2571
YDR075W	0.0883
YDR076W	-0.8382
YDR077W	2.3690
YDR078C	-0.8891
YDR079C-A	0.8834
YDR079W	0.6760
YDR080W	-0.3609
YDR081C	-0.4413
YDR082W	-0.9499
YDR083W	0.4288
YDR084C	0.3625
YDR085C	-0.6566
YDR086C	1.5637
YDR087C	0.6970
YDR088C	0.1856
YDR089W	-0.4046
YDR090C	-0.2171
YDR091C	0.4795
YDR092W	1.2779
YDR093W	-0.9063
YDR096W	-0.3997
YDR097C	-0.2862
YDR098C	1.3580
YDR099W	1.5353
YDR100W	0.8115
YDR101C	0.2031
YDR103W	-0.6245
YDR104C	-0.6918
YDR105C	-0.5552
YDR106W	0.3349
YDR107C	-0.4920
YDR108W	-0.6840
YDR109C	-0.7429
YDR110W	-0.4407
YDR111C	-0.0425
YDR113C	0.5292
YDR115W	1.1820
YDR116C	0.3882
YDR117C	0.0832
YDR118W	-0.6472
YDR119W	-0.2132
YDR119W-A	0.0839
YDR120C	0.0221
YDR121W	0.5811
YDR122W	-0.7677
YDR123C	-0.0602
YDR125C	-0.4475
YDR126W	-0.1976
YDR127W	0.0196
YDR128W	-1.3287
YDR129C	1.0160
YDR130C	-0.1454
YDR131C	-0.4649
YDR132C	-0.2356
YDR133C	-2.8050
YDR135C	-0.7662
YDR137W	-0.5618
YDR138W	-0.7936
YDR139C	0.6643
YDR140W	-0.3379
YDR141C	-0.8173
YDR142C	-0.5074
YDR143C	-0.3522
YDR144C	-0.1845
YDR145W	0.0521
YDR146C	0.0355
YDR147W	-0.3920
YDR148C	0.6934
YDR150W	-0.4101
YDR151C	0.1912
YDR152W	0.2931
YDR153C	0.5496
YDR154C	3.0863
YDR155C	2.5747
YDR156W	1.3971
YDR158W	1.5812
YDR159W	-1.1537
YDR160W	-1.1500
YDR161W	0.2694
YDR162C	1.0432
YDR163W	1.2817
YDR164C	-0.4316
YDR165W	0.0954
YDR166C	-0.4660
YDR167W	0.8548
YDR168W	0.8209
YDR169C	-0.0844
YDR170C	-0.4793
YDR171W	0.6039
YDR172W	1.0727
YDR173C	-0.2678
YDR174W	0.3831
YDR175C	0.4036
YDR176W	-0.8382
YDR177W	1.1966
YDR178W	1.1352
YDR179C	-0.3408
YDR179W-A	-0.8853
YDR180W	-0.9125
YDR181C	-0.5380
YDR182W	-0.0537
YDR183W	0.3114
YDR184C	-0.0503
YDR185C	-0.4025
YDR186C	-0.9404
YDR188W	1.4490
YDR189W	0.1178
YDR190C	0.7601
YDR191W	-0.0138
YDR192C	1.1303
YDR194C	-0.5739
YDR195W	0.1653
YDR196C	0.1608
YDR197W	-0.5688
YDR198C	-0.2944
YDR200C	-0.2863
YDR201W	0.1240
YDR202C	0.2387
YDR204W	-0.3116
YDR205W	-0.4545
YDR206W	-1.3063
YDR207C	-0.3116
YDR208W	-0.6461
YDR211W	-0.1822
YDR212W	0.6094
YDR213W	-0.6417
YDR214W	0.9339
YDR216W	-0.6498
YDR217C	-0.8063
YDR219C	-0.2787
YDR221W	-0.4672
YDR222W	-0.0597
YDR224C	2.5566
YDR225W	1.3948
YDR226W	1.7575
YDR227W	-0.7627
YDR228C	-0.3990
YDR229W	0.1061
YDR231C	0.7570
YDR232W	0.1284
YDR233C	1.1215
YDR234W	-0.0962
YDR235W	-0.7113
YDR236C	-0.3343
YDR237W	0.0449
YDR238C	0.2792
YDR239C	-0.4952
YDR240C	0.0982
YDR241W	-0.2375
YDR243C	-0.3529
YDR244W	-0.2342
YDR245W	-0.1478
YDR246W	0.2958
YDR247W	-0.3855
YDR248C	-0.2918
YDR249C	-0.6469
YDR251W	-0.7123
YDR252W	0.4023
YDR253C	-0.8792
YDR254W	-0.9173
YDR255C	-1.1425
YDR257C	-0.4176
YDR258C	0.1733
YDR259C	-0.3422
YDR260C	0.3280
YDR261C	-0.3699
YDR262W	-0.2157
YDR264C	-0.4787
YDR265W	-1.0327
YDR266C	-0.1182
YDR267C	0.6601
YDR268W	-0.4773
YDR270W	0.2560
YDR272W	1.0943
YDR273W	0.2849
YDR275W	-2.0870
YDR276C	1.6791
YDR277C	-0.3797
YDR279W	-0.2439
YDR280W	0.6569
YDR281C	0.4036
YDR282C	-0.3891
YDR283C	-1.1465
YDR284C	0.1189
YDR285W	-0.0431
YDR286C	-0.0922
YDR287W	0.0694
YDR288W	-0.6576
YDR289C	0.9381
YDR291W	-1.1376
YDR292C	-0.1902
YDR293C	-0.4286
YDR294C	-0.2313
YDR295C	-0.2836
YDR296W	0.3620
YDR297W	0.2175
YDR298C	0.8357
YDR299W	0.5670
YDR300C	0.2331
YDR301W	-0.9031
YDR302W	0.5150
YDR303C	-0.5932
YDR304C	1.2895
YDR305C	0.0761
YDR306C	-0.5901
YDR307W	-0.3153
YDR308C	0.3696
YDR309C	0.8144
YDR310C	-0.9368
YDR311W	-0.2880
YDR312W	0.2430
YDR313C	-0.6813
YDR314C	-0.9487
YDR315C	-0.6244
YDR316W	-0.3614
YDR317W	-0.2638
YDR318W	-0.5271
YDR319C	-0.2207
YDR320C	0.0048
YDR320C-A	0.9173
YDR321W	0.8846
YDR322C-A	1.8050
YDR322W	0.2248
YDR323C	-0.4742
YDR324C	0.1662
YDR325W	-0.9339
YDR326C	-1.0852
YDR328C	2.1636
YDR329C	-0.3961
YDR330W	0.0408
YDR331W	0.1371
YDR332W	-0.9975
YDR333C	-0.3856
YDR334W	-1.5674
YDR335W	-0.5631
YDR336W	-0.8826
YDR337W	0.3766
YDR338C	-0.4386
YDR339C	0.6270
YDR341C	0.8216
YDR345C	1.0067
YDR346C	0.4212
YDR347W	-0.5868
YDR348C	0.3394
YDR349C	-0.9893
YDR350C	-1.1047
YDR351W	-0.5560
