ENSG,Degradation_rates
YLR082C,0.00178320
YPL104W,0.00178252
YGL174W,0.00178195
YOR320C,0.00178175
YGR145W,0.00178154
YOR359W,0.00178109
YMR014W,0.00177999
YAL053W,0.00177973
YDL105W,0.00177906
YBR106W,0.00177813
YDR356W,0.00177739
YKL121W,0.00177707
YGL055W,0.00177607
YHR166C,0.00177495
YKL032C,0.00177469
YDR297W,0.00177456
YKL078W,0.00177428
YIL136W,0.00177341
YDR371W,0.00177130
YDL128W,0.00177086
YMR052W,0.00176876
YPR021C,0.00176839
YKR031C,0.00176833
YOR076C,0.00176796
YDL121C,0.00176666
YHR199C-A,0.00176646
YKL134C,0.00176619
YLR240W,0.00176448
YDL174C,0.00176016
YAL060W,0.00176004
YNR067C,0.00176000
YNR010W,0.00175995
YPR023C,0.00175939
YIR007W,0.00175796
YOL041C,0.00175679
YMR073C,0.00175468
YNL107W,0.00175463
YKR025W,0.00175438
YML021C,0.00175277
YJR048W,0.00175276
YOR181W,0.00174964
YKL042W,0.00174921
YJL071W,0.00174857
YBR024W,0.00174854
YCR046C,0.00174847
YIL007C,0.00174738
YER169W,0.00174713
YOL078W,0.00174669
YNL075W,0.00174657
YOR151C,0.00174645
YMR189W,0.00174361
YPL082C,0.00174304
YBR092C;YBR093C,0.00174109
YLR430W,0.00174063
YAR033W;YGL051W,0.00173888
YBR120C,0.00173805
YPL204W,0.00173763
YMR218C,0.00173654
YOL133W,0.00173618
YBR194W,0.00173484
YOR236W,0.00173395
YIL130W,0.00173365
YLR316C,0.00173309
YML029W,0.00173091
YJL036W,0.00173086
YLR051C,0.00173023
YDR330W,0.00172923
YOR297C,0.00172858
YCR015C,0.00172774
YDL189W,0.00172608
YLR310C,0.00172558
YDL101C,0.00172547
YGL171W,0.00172405
YOL141W,0.00172396
YHR005C,0.00172381
YPR035W,0.00172351
YML067C,0.00172234
YOR017W,0.00172190
YGL153W,0.00172068
YCR047C,0.00172013
YML032C,0.00172008
YEL050C,0.00171969
YER048W-A,0.00171867
YAL034W-A,0.00171754
YPL254W,0.00171751
YOR207C,0.00171640
YGL254W,0.00171576
YPL069C,0.00171575
YJL030W,0.00171551
YPL170W,0.00171476
YJR149W,0.00171144
YBR172C,0.00171103
YBL091C-A,0.00171053
YOR110W,0.00170897
YOR321W,0.00170888
YFR019W,0.00170732
YBR291C,0.00170408
YDR005C,0.00170238
YKL048C,0.00170175
YGR002C,0.00170020
YDR322C-A,0.00170011
YKR067W,0.00169930
YOL068C,0.00169838
YAL024C,0.00169825
YLR393W,0.00169675
YOR341W,0.00169581
YER155C,0.00169477
